| time |   in   | load |  out   |
|  1+  |     0  |  0  |     x  |
|  5+  |     0  |  1  |     0  |
|  9   |     0  |  0  |     0  |
|  11+  | 65535  |  1  |     0  |
|  15   | 65535  |  0  |     0  |
|  17+  |  4660  |  1  |     0  |
|  21   |  4660  |  0  |     0  |
|  23+  | 12345  |  1  |     0  |
|  27   | 12345  |  0  |     0  |
|  29+  |     1  |  1  |     0  |
|  33   |     1  |  0  |     0  |
|  35+  |     2  |  1  |     0  |
|  39   |     2  |  0  |     2  |
|  41+  |     4  |  1  |     2  |
|  45   |     4  |  0  |     2  |
|  47+  |     8  |  1  |     2  |
|  51   |     8  |  0  |     2  |
|  53+  |    16  |  1  |     2  |
|  57   |    16  |  0  |     2  |
|  59+  |    32  |  1  |     2  |
|  63   |    32  |  0  |     2  |
|  65+  |    64  |  1  |     2  |
|  69   |    64  |  0  |    64  |
|  71+  |   128  |  1  |    64  |
|  75   |   128  |  0  |    64  |
|  77+  |   256  |  1  |    64  |
|  81   |   256  |  0  |    64  |
|  83+  | 65534  |  1  |    64  |
|  87   | 65534  |  0  |    64  |
|  89+  | 65533  |  1  |    64  |
|  93   | 65533  |  0  |    64  |
|  95+  | 65435  |  1  |    64  |
|  99   | 65435  |  0  | 65435  |
|  101+  | 65531  |  1  | 65435  |
|  105   | 65531  |  0  | 65435  |
|  107+  | 65527  |  1  | 65435  |
|  111   | 65527  |  0  | 65435  |
|  113+  | 32931  |  1  | 65435  |
|  117   | 32931  |  0  | 65435  |
|  119+  | 43445  |  1  | 65435  |
|  123   | 43445  |  0  | 65435  |
|  125+  | 65484  |  1  | 65435  |
|  129   | 65484  |  0  | 65484  |
|  131+  | 65464  |  1  | 65484  |
|  135   | 65464  |  0  | 65484  |
